id,value,milliseconds,created,nquestions,expert_id,object_id
1,RRLYR,5513,2017-03-01 15:18:20.581388+00,1,4,238
2,EB,37755,2017-03-01 19:53:04.991427+00,1,6,765
3,LPV,10002,2017-03-01 19:58:01.230608+00,1,6,549
4,CEP,7172,2017-03-01 20:09:24.777397+00,1,6,609
5,EB,5686,2017-03-01 20:17:52.597768+00,1,6,112
6,EB,40502,2017-03-01 20:18:57.999428+00,1,6,345
7,LPV,448779,2017-03-01 21:54:54.671768+00,1,6,290
8,RRLYR,6007,2017-03-01 21:55:02.280282+00,1,6,417
9,EB,37245,2017-03-01 21:58:30.231266+00,1,6,487
10,RRLYR,12906,2017-03-01 21:58:50.218771+00,1,6,462
11,EB,3938,2017-03-01 21:59:08.073228+00,1,6,541
12,RRLYR,34052,2017-03-01 21:59:43.281601+00,1,6,172
13,LPV,15959,2017-03-01 22:19:56.650703+00,1,6,419
14,RRLYR,40747,2017-03-02 22:53:18.16983+00,1,6,29
15,RRLYR,9231,2017-03-02 23:02:33.366106+00,1,6,85
16,RRLYR,150853,2017-03-02 23:09:10.37474+00,1,6,752
17,RRLYR,30036,2017-03-02 23:14:51.329606+00,1,6,427
18,CEP,14791,2017-03-02 23:22:03.022823+00,1,6,717
19,LPV,11224,2017-03-06 15:30:25.614808+00,1,12,517
20,EB,22938,2017-03-06 15:30:49.73818+00,1,12,821
21,EB,2676,2017-03-06 15:44:44.70463+00,1,12,120
22,EB,12887,2017-03-06 15:48:17.281214+00,1,12,765
23,EB,5542,2017-03-06 15:52:00.468398+00,1,12,514
24,CEP,13908,2017-03-06 15:55:34.642234+00,1,12,4
25,CEP,3310,2017-03-06 15:55:57.436196+00,1,12,227
26,RRLYR,4218,2017-03-06 15:57:12.836889+00,1,12,822
27,CEP,3827,2017-03-06 15:58:16.101831+00,1,12,729
28,EB,2672,2017-03-06 15:58:37.866237+00,1,12,121
29,RRLYR,4773,2017-03-06 16:19:25.57868+00,1,14,238
30,EB,4856,2017-03-06 16:21:32.851013+00,1,14,454
31,RRLYR,7129,2017-03-06 16:25:34.184665+00,1,14,597
32,EB,4294,2017-03-06 16:32:45.65504+00,1,14,774
33,CEP,28849,2017-03-06 16:34:22.938849+00,1,14,291
34,RRLYR,10081,2017-03-06 20:06:09.306038+00,1,12,0
35,CEP,8387,2017-03-07 20:01:37.14404+00,1,6,302
36,CEP,18548,2017-03-07 20:04:56.910073+00,1,6,517
37,LPV,36029,2017-03-07 20:14:12.105416+00,1,6,469
38,LPV,28846,2017-03-07 20:16:02.254617+00,1,6,558
39,RRLYR,8755,2017-03-07 20:19:49.465701+00,1,6,201
40,CEP,89190,2017-03-07 20:22:32.14111+00,1,6,543
41,RRLYR,4112,2017-03-07 20:22:37.780845+00,1,6,79
42,EB,5383,2017-03-07 20:25:57.460865+00,1,6,764
43,CEP,8482,2017-03-08 19:31:24.683256+00,1,6,170
44,RRLYR,9241,2017-03-08 19:37:17.625619+00,1,6,788
45,CEP,3625,2017-03-08 19:40:08.407732+00,1,6,772
46,EB,4619,2017-03-08 19:40:20.062566+00,1,6,120
47,EB,15708,2017-03-09 18:42:29.590856+00,1,17,722
48,EB,3505,2017-03-09 19:01:18.656436+00,1,17,121
49,CEP,5619,2017-03-09 19:56:46.627189+00,1,6,288
50,RRLYR,100168,2017-03-09 20:00:54.307117+00,1,6,663
51,CEP,46187,2017-03-09 20:15:17.309582+00,1,6,383
52,CEP,8559,2017-03-09 20:22:08.178829+00,1,6,346
53,RRLYR,2538,2017-03-10 16:50:49.074071+00,1,2,372
54,CEP,5708,2017-03-10 16:51:02.055176+00,1,2,273
55,CEP,3861,2017-03-10 16:53:51.521824+00,1,2,347
56,CEP,18574,2017-03-10 18:14:20.764858+00,1,8,609
