id,question,value,milliseconds,created,nquestions,expert_id,object_id
51,EB,false,4052,2017-03-01 15:10:50.121245+00,3,4,686
52,CEP,false,6485,2017-03-01 15:10:57.386844+00,3,4,824
5,CEP,false,2795,2017-03-01 13:41:42.509152+00,4,2,704
6,EB,false,1646,2017-03-01 13:46:08.902054+00,4,2,704
7,LPV,false,1445,2017-03-01 13:46:14.176531+00,4,2,704
8,RRLYR,true,1244,2017-03-01 13:46:18.910035+00,4,2,704
10,EB,false,30343,2017-03-01 15:06:25.047285+00,1,4,756
11,RRLYR,false,4405,2017-03-01 15:06:30.035993+00,3,4,543
12,LPV,false,7297,2017-03-01 15:06:37.953116+00,3,4,302
13,CEP,false,3038,2017-03-01 15:06:41.630991+00,3,4,466
14,LPV,false,1611,2017-03-01 15:06:44.267275+00,1,4,597
15,LPV,false,1761,2017-03-01 15:06:46.619164+00,2,4,692
16,RRLYR,false,2484,2017-03-01 15:06:49.695727+00,2,4,469
17,EB,false,3050,2017-03-01 15:06:53.388663+00,2,4,133
18,RRLYR,true,3124,2017-03-01 15:06:57.423084+00,4,4,818
19,EB,true,3950,2017-03-01 15:07:01.967329+00,3,4,379
20,LPV,false,3177,2017-03-01 15:07:05.702944+00,2,4,17
21,LPV,false,3553,2017-03-01 15:07:09.86551+00,3,4,185
22,RRLYR,false,20121,2017-03-01 15:07:30.60555+00,1,4,80
23,CEP,false,4948,2017-03-01 15:07:36.190192+00,3,4,128
24,EB,true,1548,2017-03-01 15:07:38.387222+00,3,4,602
25,CEP,false,1988,2017-03-01 15:07:40.985836+00,4,4,187
26,LPV,false,2396,2017-03-01 15:07:44.278113+00,4,4,625
27,EB,false,9841,2017-03-01 15:07:54.846141+00,3,4,97
28,LPV,false,2160,2017-03-01 15:07:57.714082+00,4,4,818
29,EB,false,4977,2017-03-01 15:08:03.28226+00,3,4,135
30,EB,false,8794,2017-03-01 15:08:12.688946+00,3,4,164
31,EB,false,3608,2017-03-01 15:08:16.922835+00,2,4,306
32,LPV,false,2779,2017-03-01 15:08:20.347109+00,2,4,262
33,CEP,false,5326,2017-03-01 15:08:26.233745+00,2,4,454
34,EB,true,4765,2017-03-01 15:08:31.606086+00,3,4,180
35,CEP,true,5595,2017-03-01 15:08:37.875054+00,2,4,484
36,RRLYR,false,6366,2017-03-01 15:08:44.864354+00,3,4,383
37,RRLYR,false,3676,2017-03-01 15:08:49.184749+00,4,4,121
38,LPV,true,4933,2017-03-01 15:08:54.867927+00,3,4,824
39,RRLYR,false,4753,2017-03-01 15:09:00.221588+00,4,4,73
40,CEP,true,26938,2017-03-01 15:09:27.774094+00,4,4,523
41,CEP,true,7038,2017-03-01 15:09:35.440536+00,2,4,233
42,CEP,false,19056,2017-03-01 15:09:55.262579+00,2,4,666
43,RRLYR,false,2557,2017-03-01 15:09:59.295702+00,1,4,280
44,EB,false,4393,2017-03-01 15:10:04.351328+00,4,4,818
45,EB,false,9902,2017-03-01 15:10:14.892285+00,3,4,39
46,RRLYR,false,4201,2017-03-01 15:10:19.777747+00,4,4,111
47,CEP,false,9341,2017-03-01 15:10:29.760776+00,4,4,222
48,LPV,false,4189,2017-03-01 15:10:34.617854+00,3,4,511
49,LPV,false,3057,2017-03-01 15:10:38.465521+00,3,4,116
50,CEP,true,6313,2017-03-01 15:10:45.45919+00,2,4,606
53,EB,false,7321,2017-03-01 15:11:05.356136+00,2,4,672
54,EB,false,2218,2017-03-01 15:11:08.280855+00,4,4,712
55,LPV,false,3944,2017-03-01 15:11:12.964299+00,4,4,577
56,CEP,false,5303,2017-03-01 15:11:19.834984+00,4,4,218
57,CEP,false,2238,2017-03-01 15:11:22.799059+00,3,4,282
58,CEP,false,9671,2017-03-01 15:11:33.103176+00,4,4,551
